INPUT_TABLE
Variable ID
zwater_IndiaBasinspowerplantShrwt

region,supplysector,nesting.subsector1,nesting.subsector2,subsector,apply.to,from.year,to.year,from.value,to.value,interpolation.function
India,electricity,BengalBay,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,BengalW,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,BrahmaniR,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,CauveryR,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,GangesR,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,GodavariR,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,IndCstE,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,IndCstNE,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,IndCstS,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,IndCstW,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,IndusR,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,IrrawaddyR,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,KrishnaR,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,MahanadiR,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,MahiR,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,NarmadaR,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,PennarR,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,SabarmatiR,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,TaptiR,solar,CSP,share-weight,2015,2100,0,0.1,linear
India,electricity,BengalBay,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,BengalW,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,BrahmaniR,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,CauveryR,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,GangesR,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,GodavariR,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,IndCstE,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,IndCstNE,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,IndCstS,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,IndCstW,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,IndusR,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,IrrawaddyR,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,KrishnaR,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,MahanadiR,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,MahiR,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,NarmadaR,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,PennarR,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,SabarmatiR,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
India,electricity,TaptiR,solar,CSP,share-weight,2095,2100,0.1,0.1,fixed
