INPUT_TABLE
Variable ID
zwater_Indiacoolingtech_shrwt

region,sector,nesting.subsector1,nesting.subsector2,subsector,technology,apply.to,from.year,to.year,from.value,to.value,interpolation.function
India,electricity,BengalBay,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.529499,0.529499,fixed
India,electricity,BengalW,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,BrahmaniR,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,CauveryR,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,GangesR,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,GodavariR,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,IndCstE,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,IndCstNE,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530018,0.530018,fixed
India,electricity,IndCstS,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,IndCstW,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,IndusR,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,IrrawaddyR,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530473,0.530473,fixed
India,electricity,KrishnaR,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,MahanadiR,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,MahiR,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530017,0.530017,fixed
India,electricity,NarmadaR,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,PennarR,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530018,0.530018,fixed
India,electricity,SabarmatiR,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,TaptiR,nuclear,Gen_II_LWR,Gen_II_LWR (once through),share-weight,2015,2100,0.530019,0.530019,fixed
India,electricity,BengalBay,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,BengalW,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,BrahmaniR,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,CauveryR,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,GangesR,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,GodavariR,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,IndCstE,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,IndCstNE,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,IndCstS,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,IndCstW,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,IndusR,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,IrrawaddyR,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,KrishnaR,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,MahanadiR,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,MahiR,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,NarmadaR,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,PennarR,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,SabarmatiR,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,TaptiR,nuclear,Gen_II_LWR,Gen_II_LWR (recirculating),share-weight,2015,2100,1,1,fixed
India,electricity,BengalBay,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225304,0.225304,fixed
India,electricity,BengalW,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,BrahmaniR,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,CauveryR,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
India,electricity,GangesR,nuclear,Gen_II_LWR,Gen_II_LWR (seawater),share-weight,2015,2100,0.225525,0.225525,fixed
